year,week,rank,title,author
1934,1934-03-12,5,THE STATE VERSUS ELINOR NORTON,Mary Roberts Rinehart
1934,1934-03-12,6,ULYSSES,James Joyce
1934,1934-03-12,7,WITHIN THIS PRESENT,Margaret Ayer Barnes
1934,1934-03-12,8,WE RIDE THE GALE,Emilie Loring
1934,1934-03-19,1,WORK OF ART,Sinclair Lewis
1934,1934-03-19,2,ANTHONY ADVERSE,Hervey Allen
1934,1934-03-19,3,THE POSTMAN ALWAYS RINGS TWICE,James M. Cain
1934,1934-03-19,4,ULYSSES,James Joyce
1934,1934-03-19,5,MURDER IN THE CALAIS COACH,Agatha Christie
1934,1934-03-19,6,THE FOOL OF VENUS,George Cronyn
1934,1934-03-19,7,THE STATE VERSUS ELINOR NORTON,Mary Roberts Rinehart
1934,1934-03-19,8,SECRET SERVICE OPERATOR 13,Robert W. Chambers
1934,1934-03-26,1,ANTHONY ADVERSE,Hervey Allen
1934,1934-03-26,2,THE POSTMAN ALWAYS RINGS TWICE,James M. Cain
1934,1934-03-26,3,WORK OF ART,Sinclair Lewis
1934,1934-03-26,4,MAGNUS MERRIMAN,Eric Linklater
